Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
[GET] Homepage,2331,793,653,1293,1587,2500,467,6105,0.22%,0.95754,1547.99,57.39
[GET] Select Category,1687,450,483,715,1099,1565,80,6184,0.53%,0.69536,115.79,34.39
[GET] Select Sub-Category,1687,484,494,703,1006,1672,1,9691,0.12%,0.69512,125.59,38.4
[GET] Product details,1414,263,205,320,570,1288,102,2400,0.14%,0.58404,59.47,11.02
[POST] Search product - Autocomplete,2083,102,89,145,166,299,36,5526,0.00%,0.86,19.39,1.32
[GET] Random product,271,265,191,298,642,1285,1,6215,0.74%,0.22877,19.41,2.84
Browse product,462,980,825,1539,1953,2720,295,6850,1.30%,0.19106,57.68,14.51
[GET] Search,691,129,107,159,183,724,62,3153,0.15%,0.28603,8.36,1.22
[POST] Add product to cart,529,96,75,100,122,716,0,1200,0.19%,0.21911,0.69,0.39
[POST] Ajax Add to cart,529,61,57,69,75,124,0,422,0.19%,0.21911,0.79,0.39
Add to cart,529,158,135,166,208,774,0,1279,0.19%,0.2191,1.48,0.78
Search by term,691,436,395,562,655,1335,232,5813,0.15%,0.28565,27.7,2.54
[GET] Open Product - Search result,691,231,188,276,446,1233,97,1526,0.43%,0.28604,30.43,3.36
[GET] View cart,596,125,111,140,188,521,48,1340,0.00%,0.24685,3.62,0.8
[GET] Open Login page,965,112,87,130,151,777,72,2472,0.00%,0.80679,8.58,1.7
[POST] Login,964,282,255,299,351,1155,228,2170,0.00%,0.80695,14.17,3.77
Login Action,964,395,344,430,628,1428,304,2729,0.00%,0.80618,22.73,5.46
Browse products,67,985,858,1366,2249,2526,338,2778,1.49%,0.0584,16.63,4.94
[POST] Update product quantity,67,87,81,97,113,131,67,423,0.00%,0.05862,0.12,0.13
[POST] Ajax cart refresh,67,73,70,92,100,122,57,124,0.00%,0.05862,0.58,0.12
[POST] Ajax update cart,67,63,58,71,75,80,51,296,0.00%,0.05862,0.05,0.12
Update cart,67,224,212,255,279,449,178,554,0.00%,0.05861,0.75,0.36
TOTAL,19750,313,191,690,930,1651,0,9691,0.18%,8.11245,2037.04,175.45
