Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[GET] Homepage,2331,793,467,6105,437.39,0.22%,0.95754,1547.99,57.39,1655435.7
[GET] Select Category,1687,450,80,6184,360.78,0.53%,0.69536,115.79,34.39,170508.7
[GET] Select Sub-Category,1687,484,1,9691,390.2,0.12%,0.69512,125.59,38.4,185007.6
[GET] Product details,1414,263,102,2400,228.63,0.14%,0.58404,59.47,11.02,104266.9
[POST] Search product - Autocomplete,2083,102,36,5526,142.96,0.00%,0.86,19.39,1.32,23089
[GET] Random product,271,265,1,6215,422.18,0.74%,0.22877,19.41,2.84,86866.5
Browse product,462,980,295,6850,599.65,1.30%,0.19106,57.68,14.51,309120.5
[GET] Search,691,129,62,3153,177.78,0.15%,0.28603,8.36,1.22,29928.7
[POST] Add product to cart,529,96,0,1200,111.95,0.19%,0.21911,0.69,0.39,3232.7
[POST] Ajax Add to cart,529,61,0,422,30.64,0.19%,0.21911,0.79,0.39,3675.1
Add to cart,529,158,0,1279,117.5,0.19%,0.2191,1.48,0.78,6907.8
Search by term,691,436,232,5813,347.55,0.15%,0.28565,27.7,2.54,99313.4
[GET] Open Product - Search result,691,231,97,1526,178.89,0.43%,0.28604,30.43,3.36,108933.9
[GET] View cart,596,125,48,1340,103.56,0.00%,0.24685,3.62,0.8,15020.2
[GET] Open Login page,965,112,72,2472,132.7,0.00%,0.80679,8.58,1.7,10888.3
[POST] Login,964,282,228,2170,143.1,0.00%,0.80695,14.17,3.77,17978.3
Login Action,964,395,304,2729,206.2,0.00%,0.80618,22.73,5.46,28866.6
Browse products,67,985,338,2778,486.19,1.49%,0.0584,16.63,4.94,291533.5
[POST] Update product quantity,67,87,67,423,42.83,0.00%,0.05862,0.12,0.13,2153.8
[POST] Ajax cart refresh,67,73,57,124,14.73,0.00%,0.05862,0.58,0.12,10162.6
[POST] Ajax update cart,67,63,51,296,29.47,0.00%,0.05862,0.05,0.12,808
Update cart,67,224,178,554,55.08,0.00%,0.05861,0.75,0.36,13124.4
TOTAL,19750,313,0,9691,380.72,0.18%,8.11245,2037.04,175.45,257126.9
