Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
[GET] Homepage,4219,24687,30174,39587,42382,47406,488,78040,0.74%,1.16674,1885.13,69.98
[GET] Open Login page,1423,10304,13440,16457,17183,19303,9,23961,0.07%,0.39457,4.19,0.83
[POST] Login,1417,5995,6924,8821,9552,25982,230,45954,0.14%,0.39358,6.81,1.84
Login Action,1417,16287,20806,24762,25487,43108,307,66193,0.21%,0.39351,10.99,2.66
[GET] Select Category,3007,13350,12980,27892,31728,36812,1,63307,0.37%,0.83344,137.03,39.89
[GET] Select Sub-Category,2993,12808,11318,28685,31942,37602,0,51595,0.54%,0.82968,152.76,45.75
[GET] Product details,2976,13867,13984,26767,28992,34844,1,48713,0.54%,0.82599,81.47,14.42
Transaction Controller - Browse,2053,45357,50385,80881,86068,97050,440,144421,0.68%,0.57199,292.19,79.81
[POST] Search product - Autocomplete,3704,1658,102,7529,8160,9792,7,16935,0.05%,1.03175,23.13,1.55
[GET] Search,1234,3115,163,8147,8799,14343,61,26598,0.16%,0.34426,10.14,1.45
Search by term,1234,8083,7493,16304,17416,35896,235,60568,0.32%,0.3442,33.28,3
[GET] Open Product - Search result,1234,7172,7193,15679,18005,24241,97,41034,0.32%,0.34257,37.26,4.01
Transaction Controller - Search,1232,15209,15280,26682,32087,47424,349,97061,0.57%,0.34376,70.62,7.01
[POST] Add product to cart,914,2653,91,7973,8659,10169,1,13291,0.22%,0.25594,0.8,0.45
[POST] Ajax Add to cart,914,286,58,79,99,8718,0,13665,0.11%,0.25594,0.92,0.45
Transaction Controller - Add to cart,914,30538,16221,80030,88142,102224,426,123664,0.77%,0.25579,79.24,20.69
[GET] View cart,914,512,112,160,396,13102,1,29420,0.11%,0.25592,3.8,0.84
[POST] Update product quantity,97,509,80,110,945,8236,64,9379,0.00%,0.02768,0.06,0.06
[POST] Ajax cart refresh,97,318,72,99,132,6607,55,8145,0.00%,0.02768,0.27,0.06
[POST] Ajax update cart,97,199,59,73,84,121,50,13395,0.00%,0.02768,0.02,0.06
[GET] View  cart,97,157,76,97,112,134,67,7578,0.00%,0.02768,0.35,0.06
Update cart,97,1184,296,391,1164,16469,244,33756,0.00%,0.02768,0.7,0.22
TOTAL,36503,12111,6388,32440,41713,78245,0,144421,0.34%,10.0929,2825.07,293.74
