Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[GET] Homepage,3858,58083,479,216708,31552.71,4.33%,1.06104,1708,63.4,1648385.5
[GET] Open Login page,1298,23978,74,86730,13337.81,0.15%,0.35901,4.61,0.81,13150.7
[POST] Login,1284,13902,1,90869,11216.22,0.23%,0.35629,8.4,1.75,24154.1
Login Action,1284,37789,314,173305,22800.89,0.39%,0.35624,12.99,2.55,37329.4
[GET] Select Category,2709,32201,0,195806,24078,3.73%,0.74765,123.42,35.81,169034.1
[GET] Select Sub-Category,2672,30899,0,125425,26479.09,3.07%,0.73685,134.93,40.19,187505.1
[GET] Product details,2654,32343,1,115850,22261.38,3.88%,0.73316,72.06,12.67,100643.6
Transaction Controller - Browse,1815,107885,255,319054,63728.59,8.32%,0.50621,257.91,70.21,521728.8
[POST] Search product - Autocomplete,3296,3950,1,43668,7019.13,0.12%,0.91609,20.9,1.37,23362.1
[GET] Search,1096,7183,61,45415,8373.51,0.46%,0.30507,8.93,1.28,29973.6
Search by term,1094,18934,230,140946,16703.35,0.82%,0.30585,29.9,2.65,100105.7
[GET] Open Product - Search result,1094,17018,16,88613,13518.06,1.92%,0.30416,33.07,3.56,111331
Transaction Controller - Search,1084,35851,392,229559,26042.76,2.68%,0.30465,62.92,6.21,211487.4
[POST] Add product to cart,805,6305,36,46845,8082.42,0.37%,0.22416,0.69,0.39,3135.8
[POST] Ajax Add to cart,803,868,1,41088,4204.32,0.13%,0.225,0.81,0.39,3664.7
Transaction Controller - Add to cart,803,71162,372,299454,68562.22,5.48%,0.22479,68.41,17.68,311652.4
[GET] View cart,803,1349,46,56327,6694.3,0.00%,0.22497,3.74,0.77,17002.8
[POST] Update product quantity,85,591,66,23619,3084.59,0.00%,0.02416,0.05,0.05,2149.8
[POST] Ajax cart refresh,85,267,55,15465,1661.95,0.00%,0.02416,0.23,0.05,9858.6
[POST] Ajax update cart,85,283,51,18564,1995.1,0.00%,0.02416,0.02,0.05,808
[GET] View  cart,85,335,66,21268,2284.56,0.00%,0.02416,0.3,0.05,12906.1
Update cart,85,1477,246,78916,8636.39,0.00%,0.02415,0.61,0.2,25722.5
TOTAL,32735,28604,0,319054,37903.15,2.23%,9.00183,2543.83,260.16,289373
