Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JSR223 Sampler - Search terms script,1164,0,0,1,1,2,0,225,0.000%,.97195,0.00,0.00
[GET] Homepage,1164,709,586,1017,1437,2037,463,7344,0.172%,.97140,1569.50,58.28
[GET] Open Login page,359,101,85,126,148,321,1,1166,0.279%,.30197,3.20,0.63
[GET] Select Category,838,406,349,619,715,1497,95,3139,0.358%,.70184,116.60,33.17
[POST] Login,359,282,254,298,336,1126,226,2190,0.000%,.30190,5.23,1.41
Login Action,359,383,341,425,494,1450,302,2304,0.279%,.30190,8.43,2.04
[GET] Select Sub-Category,836,446,486,593,726,1425,84,2016,0.000%,.70098,130.85,38.73
[GET] Product details,833,226,197,260,385,1152,94,1951,0.240%,.69934,68.66,12.14
Transaction Controller - Browse,577,1157,1146,1571,1896,2587,423,3904,0.347%,.48595,250.33,67.53
[POST] Search product - Autocomplete,1044,100,86,144,161,488,34,1012,0.000%,.88036,19.73,1.31
[GET] Search,348,129,107,155,186,1142,62,2077,0.287%,.29367,8.23,1.17
Search by term,348,432,386,553,792,1492,230,2448,0.287%,.29356,27.97,2.48
[GET] Open Product - Search result,348,224,188,242,309,1350,102,1498,0.000%,.29360,31.47,3.40
Transaction Controller - Search,347,656,571,843,1346,2000,367,2735,0.288%,.29281,59.33,5.86
[POST] Add product to cart,255,86,75,96,104,150,39,1006,0.000%,.21851,0.67,0.38
[POST] Ajax Add to cart,255,62,57,67,72,83,35,983,0.000%,.21851,0.78,0.38
Transaction Controller - Add to cart,255,1049,901,1540,1710,2628,432,2685,0.392%,.21856,68.22,17.52
[GET] View cart,255,110,109,140,152,208,44,247,0.000%,.21844,3.22,0.71
[POST] Update product quantity,25,86,82,99,118,141,67,141,0.000%,.02281,0.05,0.05
[POST] Ajax cart refresh,25,71,66,85,92,118,56,118,0.000%,.02281,0.22,0.05
[POST] Ajax update cart,25,59,59,67,71,77,51,77,0.000%,.02281,0.02,0.05
[GET] View  cart,25,81,77,96,103,111,69,111,0.000%,.02281,0.28,0.04
Update cart,25,299,300,329,379,394,245,394,0.000%,.02281,0.57,0.18
TOTAL,10069,360,220,833,1201,1735,0,7344,0.149%,8.38964,2362.38,245.42
