Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
JSR223 Sampler - Search terms script,1164,0,0,225,9.55,0.000%,.97195,0.00,0.00,.0
[GET] Homepage,1164,709,463,7344,386.51,0.172%,.97140,1569.50,58.28,1654496.2
[GET] Open Login page,359,101,1,1166,71.82,0.279%,.30197,3.20,0.63,10862.7
[GET] Select Category,838,406,95,3139,267.51,0.358%,.70184,116.60,33.17,170127.5
[POST] Login,359,282,226,2190,164.77,0.000%,.30190,5.23,1.41,17736.2
Login Action,359,383,302,2304,186.72,0.279%,.30190,8.43,2.04,28598.9
[GET] Select Sub-Category,836,446,84,2016,239.96,0.000%,.70098,130.85,38.73,191147.7
[GET] Product details,833,226,94,1951,149.31,0.240%,.69934,68.66,12.14,100529.6
Transaction Controller - Browse,577,1157,423,3904,404.37,0.347%,.48595,250.33,67.53,527509.5
[POST] Search product - Autocomplete,1044,100,34,1012,81.88,0.000%,.88036,19.73,1.31,22949.9
[GET] Search,348,129,62,2077,160.01,0.287%,.29367,8.23,1.17,28707.9
Search by term,348,432,230,2448,234.61,0.287%,.29356,27.97,2.48,97557.5
[GET] Open Product - Search result,348,224,102,1498,184.52,0.000%,.29360,31.47,3.40,109775.2
Transaction Controller - Search,347,656,367,2735,319.00,0.288%,.29281,59.33,5.86,207478.7
[POST] Add product to cart,255,86,39,1006,78.55,0.000%,.21851,0.67,0.38,3122.2
[POST] Ajax Add to cart,255,62,35,983,61.26,0.000%,.21851,0.78,0.38,3674.1
Transaction Controller - Add to cart,255,1049,432,2685,422.40,0.392%,.21856,68.22,17.52,319599.6
[GET] View cart,255,110,44,247,25.83,0.000%,.21844,3.22,0.71,15100.6
[POST] Update product quantity,25,86,67,141,17.11,0.000%,.02281,0.05,0.05,2093.2
[POST] Ajax cart refresh,25,71,56,118,14.90,0.000%,.02281,0.22,0.05,9755.4
[POST] Ajax update cart,25,59,51,77,5.93,0.000%,.02281,0.02,0.05,808.0
[GET] View  cart,25,81,69,111,10.56,0.000%,.02281,0.28,0.04,12789.9
Update cart,25,299,245,394,34.91,0.000%,.02281,0.57,0.18,25446.5
TOTAL,10069,360,0,7344,395.22,0.149%,8.38964,2362.38,245.42,288340.3
