Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JSR223 Sampler - Search terms script,2372,0,0,1,1,3,0,362,0.000%,.93201,0.00,0.00
[GET] Homepage,2372,721,600,975,1408,2179,465,6556,0.169%,.93147,1505.74,55.69
Debug Sampler,1384,0,0,1,1,1,0,2,0.000%,1.15686,2.03,0.00
[GET] Select Category - /en/12-tv-and-audio,251,576,544,693,844,1483,248,6218,0.000%,.09921,25.07,7.92
[GET] Select Sub-Category - /en/40-bluetooth-speakers,90,494,496,594,663,836,236,1723,0.000%,.03590,7.42,2.40
[GET] Random product,1715,237,203,274,365,1215,0,3064,0.408%,.67605,66.88,12.04
[GET] Select Category - /en/14-gaming,215,560,533,716,917,1582,253,1961,0.465%,.08540,21.18,6.57
[GET] Select Sub-Category - /en/4-men,81,134,116,146,179,268,84,1152,0.000%,.03253,0.56,0.09
[POST] Search product - Autocomplete - Partial type - mou,33,168,138,158,167,1169,116,1169,0.000%,.02880,1.19,0.04
[POST] Search product - Autocomplete - Partial type - moun,33,178,125,189,303,1036,105,1036,0.000%,.02880,1.19,0.04
[POST] Search product - Autocomplete - mountain,33,132,119,144,153,492,96,492,0.000%,.02880,1.19,0.04
[GET] Search mountain,33,188,169,198,203,555,117,555,0.000%,.02880,2.06,0.28
Search by term,706,413,379,540,659,1289,230,1994,0.567%,.27871,25.22,2.34
[GET] Open Product - Search result,706,218,189,249,356,1165,85,1303,0.142%,.27896,29.47,3.26
Browse product,470,923,811,1371,1683,2286,291,6219,1.489%,.18576,55.80,14.00
[GET] Select Category - /en/17-furniture,246,560,542,645,853,1595,252,2457,0.000%,.09751,23.92,7.61
[POST] Add product to cart,535,92,75,99,111,702,42,1108,0.000%,.21209,0.66,0.38
[POST] Ajax Add to cart,535,59,57,67,72,90,38,378,0.000%,.21210,0.76,0.38
Add to cart,535,151,135,162,191,752,80,1173,0.000%,.21209,1.42,0.76
[GET] Select Sub-Category - /en/61-storage-furniture,71,529,508,690,814,1353,263,1407,0.000%,.02854,6.37,1.98
