Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JSR223 Sampler - Search terms script,2340,0,0,1,1,2,0,471,0.000%,.95634,0.00,0.00
[GET] Homepage,2340,794,626,1308,1585,2933,475,8470,0.256%,.95610,1545.28,57.16
Debug Sampler,1369,0,0,1,1,1,0,20,0.000%,1.14166,2.00,0.00
[GET] Select Category - /en/17-furniture,248,596,552,832,1229,1608,249,3132,0.000%,.10173,24.99,7.89
[GET] Select Sub-Category - /en/93-board-games,97,521,504,617,761,1396,251,1549,3.093%,.03976,8.59,2.66
[GET] Select Category - /en/12-tv-and-audio,227,602,540,856,1389,1625,243,3477,0.000%,.09376,23.19,7.22
[GET] Random product,1691,264,209,306,539,1301,1,6295,0.237%,.69389,68.00,12.31
[GET] Select Sub-Category - /en/61-storage-furniture,83,556,519,792,973,1363,247,1724,1.205%,.03443,7.94,2.51
[POST] Search product - Autocomplete - Partial type - vec,45,115,93,118,128,1027,74,1027,0.000%,.04029,0.79,0.05
[POST] Search product - Autocomplete - Partial type - vect,45,83,81,96,104,105,70,105,0.000%,.04028,0.79,0.05
[POST] Search product - Autocomplete - vector,45,88,80,99,131,211,67,211,0.000%,.04029,0.79,0.05
[GET] Search vector,45,158,114,139,154,1150,69,1150,0.000%,.04028,1.53,0.21
Search by term,696,449,403,606,928,1413,220,1678,0.144%,.28639,27.58,2.51
[GET] Open Product - Search result,695,225,192,259,399,1143,101,1525,0.288%,.28617,30.63,3.36
Browse product,463,988,882,1450,1705,2405,283,8976,0.432%,.19010,58.21,14.83
[POST] Add product to cart,530,92,75,100,112,792,39,1316,0.000%,.21795,0.68,0.39
[POST] Ajax Add to cart,530,62,57,69,74,130,36,989,0.000%,.21795,0.78,0.39
Add to cart,530,155,135,168,185,877,75,1391,0.000%,.21794,1.47,0.78
[GET] Select Category - /en/25-toys,229,649,538,920,1405,2815,239,6382,0.000%,.09560,23.48,7.27
[GET] View cart,595,121,111,138,159,515,47,1070,0.000%,.24479,3.57,0.78
[GET] Select Category - /en/9-art,231,230,190,237,531,1195,100,1420,0.000%,.09521,5.45,1.00
[GET] Select Sub-Category - /en/46-gaming-consoles,81,592,505,856,1409,1827,243,2492,0.000%,.03342,7.46,2.28
[GET] Select Category - /en/3-clothes,253,179,148,193,314,1148,91,1270,0.000%,.10436,3.31,0.82
[GET] Select Sub-Category - /en/58-office-chairs,89,588,511,755,1361,1648,246,2070,0.000%,.03809,8.60,2.69
[POST] Search product - Autocomplete - Partial type - hum,56,135,114,137,160,183,81,1140,0.000%,.04818,1.60,0.06
[POST] Search product - Autocomplete - Partial type - humm,56,123,103,120,134,170,95,1022,0.000%,.04819,1.60,0.06
