Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
JSR223 Sampler - Search terms script,2340,0,0,471,10.21,0.000%,.95634,0.00,0.00,.0
[GET] Homepage,2340,794,475,8470,542.74,0.256%,.95610,1545.28,57.16,1655021.6
Debug Sampler,1369,0,0,20,0.77,0.000%,1.14166,2.00,0.00,1796.4
[GET] Select Category - /en/17-furniture,248,596,249,3132,297.24,0.000%,.10173,24.99,7.89,251509.4
[GET] Select Sub-Category - /en/93-board-games,97,521,251,1549,205.26,3.093%,.03976,8.59,2.66,221337.2
[GET] Select Category - /en/12-tv-and-audio,227,602,243,3477,355.97,0.000%,.09376,23.19,7.22,253269.0
[GET] Random product,1691,264,1,6295,281.35,0.237%,.69389,68.00,12.31,100350.5
[GET] Select Sub-Category - /en/61-storage-furniture,83,556,247,1724,227.78,1.205%,.03443,7.94,2.51,236185.1
[POST] Search product - Autocomplete - Partial type - vec,45,115,74,1027,138.35,0.000%,.04029,0.79,0.05,20094.3
[POST] Search product - Autocomplete - Partial type - vect,45,83,70,105,8.38,0.000%,.04028,0.79,0.05,20094.0
[POST] Search product - Autocomplete - vector,45,88,67,211,25.22,0.000%,.04029,0.79,0.05,20094.1
[GET] Search vector,45,158,69,1150,212.10,0.000%,.04028,1.53,0.21,38999.9
Search by term,696,449,220,1678,229.65,0.144%,.28639,27.58,2.51,98622.8
[GET] Open Product - Search result,695,225,101,1525,153.07,0.288%,.28617,30.63,3.36,109619.2
Browse product,463,988,283,8976,584.10,0.432%,.19010,58.21,14.83,313537.2
[POST] Add product to cart,530,92,39,1316,102.44,0.000%,.21795,0.68,0.39,3209.4
[POST] Ajax Add to cart,530,62,36,989,46.78,0.000%,.21795,0.78,0.39,3676.5
Add to cart,530,155,75,1391,113.61,0.000%,.21794,1.47,0.78,6886.0
[GET] Select Category - /en/25-toys,229,649,239,6382,518.69,0.000%,.09560,23.48,7.27,251460.4
[GET] View cart,595,121,47,1070,82.02,0.000%,.24479,3.57,0.78,14920.0
[GET] Select Category - /en/9-art,231,230,100,1420,185.44,0.000%,.09521,5.45,1.00,58661.6
[GET] Select Sub-Category - /en/46-gaming-consoles,81,592,243,2492,351.03,0.000%,.03342,7.46,2.28,228601.8
[GET] Select Category - /en/3-clothes,253,179,91,1270,163.88,0.000%,.10436,3.31,0.82,32514.2
