Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
JSR223 Sampler - Search terms script,2372,0,0,362,10.71,0.000%,.93201,0.00,0.00,.0
[GET] Homepage,2372,721,465,6556,420.78,0.169%,.93147,1505.74,55.69,1655308.7
Debug Sampler,1384,0,0,2,0.42,0.000%,1.15686,2.03,0.00,1799.9
[GET] Select Category - /en/12-tv-and-audio,251,576,248,6218,404.61,0.000%,.09921,25.07,7.92,258732.8
[GET] Select Sub-Category - /en/40-bluetooth-speakers,90,494,236,1723,176.46,0.000%,.03590,7.42,2.40,211706.8
[GET] Random product,1715,237,0,3064,177.20,0.408%,.67605,66.88,12.04,101301.7
[GET] Select Category - /en/14-gaming,215,560,253,1961,248.65,0.465%,.08540,21.18,6.57,254009.2
[GET] Select Sub-Category - /en/4-men,81,134,84,1152,117.24,0.000%,.03253,0.56,0.09,17779.7
[POST] Search product - Autocomplete - Partial type - mou,33,168,116,1169,177.47,0.000%,.02880,1.19,0.04,42244.2
[POST] Search product - Autocomplete - Partial type - moun,33,178,105,1036,182.39,0.000%,.02880,1.19,0.04,42244.1
[POST] Search product - Autocomplete - mountain,33,132,96,492,65.39,0.000%,.02880,1.19,0.04,42244.0
[GET] Search mountain,33,188,117,555,92.39,0.000%,.02880,2.06,0.28,73231.1
Search by term,706,413,230,1994,188.38,0.567%,.27871,25.22,2.34,92643.9
[GET] Open Product - Search result,706,218,85,1303,147.30,0.142%,.27896,29.47,3.26,108187.8
Browse product,470,923,291,6219,483.41,1.489%,.18576,55.80,14.00,307569.7
[GET] Select Category - /en/17-furniture,246,560,252,2457,243.45,0.000%,.09751,23.92,7.61,251152.4
[POST] Add product to cart,535,92,42,1108,95.32,0.000%,.21209,0.66,0.38,3194.7
[POST] Ajax Add to cart,535,59,38,378,15.99,0.000%,.21210,0.76,0.38,3674.1
Add to cart,535,151,80,1173,97.64,0.000%,.21209,1.42,0.76,6868.8
[GET] Select Sub-Category - /en/61-storage-furniture,71,529,263,1407,193.10,0.000%,.02854,6.37,1.98,228609.9
[GET] View cart,602,111,47,1139,57.21,0.000%,.23873,3.49,0.77,14982.9
[GET] Select Category - /en/6-accessories,253,276,123,1280,174.81,1.186%,.10018,9.65,1.90,98589.2
[GET] Select Category - /en/25-toys,267,548,248,1667,215.36,0.000%,.10579,24.52,7.53,237314.8
[GET] Select Sub-Category - /en/93-board-games,92,490,254,1387,154.05,0.000%,.03697,7.88,2.53,218287.1
[GET] Select Sub-Category - /en/49-gaming-mice,101,509,236,1603,209.84,0.000%,.04006,9.35,2.65,238913.6
[POST] Search product - Autocomplete - Partial type - sho,96,84,54,989,101.42,0.000%,.03848,0.42,0.06,11284.2
[POST] Search product - Autocomplete - Partial type - shoe,96,163,137,348,32.82,0.000%,.03848,2.30,0.06,61326.0
[POST] Search product - Autocomplete - shoes,96,100,69,706,75.24,0.000%,.03848,0.75,0.06,19915.0
[POST] Search product - Autocomplete - Partial type - shi,121,93,54,1033,134.54,0.000%,.04824,0.53,0.08,11284.3
[GET] Search shoes,96,135,76,1141,111.88,0.000%,.03848,1.42,0.23,37750.4
[POST] Search product - Autocomplete - Partial type - shir,121,68,55,327,28.63,0.000%,.04823,0.53,0.08,11284.0
[POST] Search product - Autocomplete - shirt,121,70,54,441,49.20,0.000%,.04824,0.53,0.08,11284.0
[GET] Search shirt,121,90,63,732,64.85,0.000%,.04824,0.60,0.07,12720.7
[GET] Select Sub-Category - /en/59-living-room-furniture,72,601,257,2968,397.92,0.000%,.02999,6.94,2.04,236961.9
[GET] Select Sub-Category - /en/48-gaming-keyboards,102,502,231,2950,285.39,0.000%,.04068,8.60,2.78,216559.5
[GET] Select Sub-Category - /en/8-home-accessories,88,190,118,945,100.55,0.000%,.03506,1.71,0.32,49987.2
[GET] Select Sub-Category - /en/92-remote-control-toys,89,533,246,1387,173.81,0.000%,.03563,8.60,2.52,247109.1
[POST] Search product - Autocomplete - Partial type - jea,96,98,80,150,13.31,0.000%,.03881,0.64,0.06,16935.3
[POST] Search product - Autocomplete - Partial type - jean,96,102,64,1022,96.20,0.000%,.03880,0.64,0.06,16935.0
[POST] Search product - Autocomplete - jeans,96,99,71,770,69.97,0.000%,.03880,0.64,0.06,16935.0
[GET] Search jeans,96,87,69,361,30.71,0.000%,.03880,0.49,0.06,13009.6
[POST] Search product - Autocomplete - Partial type - vec,43,111,74,560,79.22,0.000%,.03879,0.76,0.05,20094.4
[POST] Search product - Autocomplete - Partial type - vect,43,93,73,587,76.48,0.000%,.03880,0.76,0.05,20094.0
[POST] Search product - Autocomplete - vector,43,82,74,101,7.07,0.000%,.03880,0.76,0.05,20094.0
[GET] Select Sub-Category - /en/60-bedroom-furniture,84,571,235,1561,279.65,0.000%,.03384,7.44,2.35,224991.6
[GET] Search vector,43,115,67,490,60.36,2.326%,.03880,1.42,0.19,37423.2
[GET] Select Sub-Category - /en/7-stationery,98,159,1,1191,125.89,1.020%,.03943,1.67,0.25,43293.9
[GET] Select Sub-Category - /en/47-gaming-controllers,91,516,250,1432,200.77,0.000%,.03644,8.04,2.59,225991.7
[GET] Select Sub-Category - /en/41-home-cinema-systems,74,492,249,1738,204.91,0.000%,.02997,6.11,1.89,208610.4
[POST] Search product - Autocomplete - Partial type - sam,38,109,89,302,33.38,0.000%,.03476,1.04,0.04,30632.3
[POST] Search product - Autocomplete - Partial type - sams,38,185,145,838,108.76,0.000%,.03475,2.16,0.04,63602.0
[POST] Search product - Autocomplete - samsung,38,98,70,296,38.80,0.000%,.03475,1.02,0.04,30004.0
[GET] Search samsung,38,135,80,561,73.50,0.000%,.03475,0.80,0.12,23713.8
[POST] Search product - Autocomplete - Partial type - hum,49,134,97,859,106.53,0.000%,.04263,1.41,0.06,33933.4
[POST] Search product - Autocomplete - Partial type - humm,49,108,95,153,11.03,0.000%,.04264,1.41,0.06,33933.0
[POST] Search product - Autocomplete - hummingbird,49,115,96,296,33.77,0.000%,.04263,1.41,0.06,33933.0
[GET] Search hummingbird,49,165,110,1284,163.19,2.041%,.04263,1.61,0.21,38696.6
[GET] Select Category - /en/3-clothes,238,171,0,1339,152.39,0.420%,.09608,3.08,0.78,32838.3
[GET] Select Category - /en/9-art,251,203,109,1303,125.64,0.398%,.10080,5.66,1.04,57464.9
[POST] Search product - Autocomplete - Partial type - lap,81,134,89,1032,120.87,0.000%,.03253,0.97,0.05,30632.2
[POST] Search product - Autocomplete - Partial type - lapt,81,110,93,164,14.14,0.000%,.03253,1.17,0.05,36717.0
[GET] Select Sub-Category - /en/91-educational-toys,83,509,240,1361,169.92,0.000%,.03371,7.21,2.32,219197.1
[POST] Search product - Autocomplete - laptop,81,86,60,717,71.59,0.000%,.03253,0.64,0.05,20094.0
[GET] Search laptop,81,129,73,1041,104.74,2.469%,.03253,1.23,0.21,38824.1
[GET] Select Sub-Category - /en/5-women,84,149,84,1076,155.70,0.000%,.03393,0.59,0.09,17816.2
[POST] Search product - Autocomplete - Partial type - swe,110,72,53,190,20.59,0.000%,.04436,0.43,0.07,9913.3
[POST] Search product - Autocomplete - Partial type - swea,110,63,53,160,12.80,0.000%,.04436,0.43,0.07,9913.0
[POST] Search product - Autocomplete - sweater,110,65,53,215,17.41,0.000%,.04436,0.43,0.07,9913.0
[GET] Search sweater,110,97,61,886,101.00,0.000%,.04436,0.55,0.07,12655.4
[GET] Select Sub-Category - /en/58-office-chairs,81,549,249,1458,240.71,0.000%,.03310,7.25,2.29,224282.8
[GET] Select Sub-Category - /en/46-gaming-consoles,71,520,244,1351,165.11,0.000%,.02960,6.74,2.10,233224.0
[GET] Select Sub-Category - /en/38-smart-tvs,91,554,240,2491,328.69,0.000%,.03702,8.06,2.48,222872.9
[GET] Select Sub-Category - /en/90-building-sets,97,550,252,3159,338.37,0.000%,.03944,8.05,2.58,209076.0
[POST] Search product - Autocomplete - Partial type - not,39,49,35,122,16.11,0.000%,.03541,0.08,0.05,2205.3
[POST] Search product - Autocomplete - Partial type - note,39,92,82,112,7.59,0.000%,.03541,0.69,0.05,19915.0
[POST] Search product - Autocomplete - notebook,39,96,83,314,36.23,0.000%,.03541,0.69,0.05,19915.0
[GET] Search notebook,39,112,73,167,23.43,0.000%,.03541,1.15,0.15,33371.3
[GET] Select Sub-Category - /en/39-wireless-headphones,79,522,239,1462,172.12,0.000%,.03243,7.94,2.33,250711.8
Login Action,976,375,123,2826,152.94,0.000%,.81404,22.74,5.50,28600.6
Browse products,68,886,329,2133,345.33,0.000%,.05886,15.84,4.62,275588.7
[POST] Update product quantity - increase qty,67,87,66,422,42.83,0.000%,.05890,0.12,0.13,2128.4
[POST] Ajax cart refresh,67,68,55,105,12.40,0.000%,.05890,0.57,0.12,9890.0
[POST] Ajax update cart product qty,67,58,50,71,5.12,0.000%,.05890,0.05,0.12,808.0
Update cart,67,214,173,571,48.83,0.000%,.05889,0.74,0.36,12826.4
TOTAL,19508,280,0,6556,336.82,0.174%,7.66036,1967.76,167.23,263040.8
