Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
JSR223 Sampler - Search terms script,10,1,0,15,4.39,0.00%,0.48249,0,0,0
[GET] Homepage,8,520,98,853,261.24,0.00%,0.37298,453.63,17.35,1245438.6
[GET] Select Category - 14-gaming,3,521,504,535,12.83,0.00%,0.32812,94.31,26.44,294322.3
[GET] Select Category - 17-furniture,2,713,501,926,212.5,0.00%,0.09387,26.9,7.68,293477
[GET] Select Sub-Category - /en/61-storage-furniture,1,395,395,395,0,0.00%,2.53165,509.58,139.7,206116
[GET] Random product,5,188,142,347,79.92,0.00%,0.22606,21.09,3.5,95512
Transaction Controller - Browse,5,2346,1953,3369,516.63,0.00%,0.2075,498.64,55.29,2460740
[POST] Search product - Autocomplete - Partial type - jea,2,90,81,99,9,0.00%,0.13492,2.23,0.17,16935
[POST] Search product - Autocomplete - Partial type - jean,2,103,80,127,23.5,0.00%,0.13504,2.23,0.18,16935
[POST] Search product - Autocomplete - jeans,2,80,79,81,1,0.00%,0.13401,2.22,0.17,16935
[GET] Search jeans,2,72,71,74,1.5,0.00%,0.13409,1.65,0.17,12588.5
Search by term,3,309,237,363,53.22,0.00%,0.18429,10.13,0.99,56280
[GET] Product details - Search result,3,168,151,194,18.52,0.00%,0.19957,18.03,1.92,92509
Transaction Controller - Search,3,742,486,1118,271.31,0.00%,0.1614,112.01,6,710624.3
[POST] Add product to cart,2,49,34,65,15.5,0.00%,0.19697,0.15,0.21,784.5
[POST] Ajax Add to cart,2,39,38,40,1,0.00%,0.19747,0.6,0.27,3094
Add Product to cart,2,88,72,105,16.5,0.00%,0.19619,0.74,0.48,3878.5
[GET] Select Category - 9-art,2,179,168,191,11.5,0.00%,0.23381,14.3,2.48,62608
[GET] Select Sub-Category - /en/90-building-sets,1,452,452,452,0,0.00%,2.21239,568.15,161.59,262966
[GET] Select Category - 25-toys,2,502,493,512,9.5,0.00%,0.30807,85.28,23.53,283457.5
[GET] Select Sub-Category - /en/38-smart-tvs,1,438,438,438,0,0.00%,2.28311,605.45,167.27,271552
[POST] Search product - Autocomplete - Partial type - swe,1,56,56,56,0,0.00%,17.85714,172.87,25.63,9913
[POST] Search product - Autocomplete - Partial type - swea,1,58,58,58,0,0.00%,17.24138,166.91,24.77,9913
[POST] Search product - Autocomplete - sweater,1,56,56,56,0,0.00%,17.85714,172.87,25.7,9913
[GET] Search sweater,1,67,67,67,0,0.00%,14.92537,179.48,21.11,12314
[GET] Select Sub-Category - /en/47-gaming-controllers,2,626,426,827,200.5,0.00%,0.23861,62.99,17.96,270348
[GET] Select Category - 6-accessories,1,531,531,531,0,0.00%,1.88324,192.65,34.03,104755
TOTAL,70,417,0,3369,611.09,0.00%,2.90312,1176.78,120.84,415078.6
